loss,best_val_kl,best_val_rho,test_rho_forecaster,test_rho_token_norm,delta_rho
Reverse KL,-0.34209805727005005,0.7913161516189575,0.729955885237638,0.1180899376490654,0.6118659475885726
JSD,-0.3420048654079437,0.7898789048194885,0.7256748928914163,0.1180899376490654,0.6075849552423509
Pearson,-0.3374282419681549,0.7871694564819336,0.7225481478699735,0.1180899376490654,0.6044582102209081
"KL Divergence
(ours)",-0.3418504297733307,0.7843359112739563,0.7216608482233993,0.1180899376490654,0.6035709105743339
Cosine,-0.34163132309913635,0.7781555652618408,0.7155652395280955,0.1180899376490654,0.5974753018790301
L1 / MAE,-0.33359530568122864,0.6596360802650452,0.6373360255302493,0.1180899376490654,0.5192460878811839
MSE,-0.327507346868515,0.6681473851203918,0.6178784002583672,0.1180899376490654,0.49978846260930176
Huber,-0.32685723900794983,0.6498368978500366,0.6035790275315388,0.1180899376490654,0.4854890898824734
