method,variant,keep_ratio,speedup,throughput,throughput_std,latency_ms,latency_std,gflops,accuracy,f1_macro,tar_at_far
Baseline,—,,1.0,265.6500651992094,1.1529846530167598,23.337728515625,0.0185689772048839,60.318104576,0.8488857938718662,0.7880388732363968,0.0
Entropy Pruning,10% token,0.1,3.5104364609176693,932.5476747204607,0.20805062906014243,26.637802734374997,0.07062857423963373,13.320849408,0.8993036211699165,0.864605224714653,0.0010840947808579836
Entropy Pruning,20% token,0.2,2.7175818149358872,721.9257863219042,0.9045138639797214,26.656224934895835,0.08805526902853758,18.665125888,0.9185236768802229,0.8860266234359448,0.0006065200909780137
Entropy Pruning,30% token,0.3,2.159732389613662,573.7330501137137,0.5377045529779217,25.898666341145834,0.043465566916389746,23.742188544,0.9243732590529248,0.8929799010575407,0.00030134096730450503
Entropy Pruning,50% token,0.5,1.601529967389628,425.44654025554235,0.7388251754128318,27.3006513671875,0.08801133308019338,34.430741504,0.9266016713091922,0.8963035344335863,0.012625883060273561
CropR,—,,2.364507363937981,628.1315353941354,1.4571611814965038,15.83344889322917,0.027686452099000714,31.601800192,0.8504178272980502,0.8126097110905035,0.00016377333770062233
ToMe,r=0,1.0,0.9886775533638824,262.6422565121102,0.374268401261721,24.577060546874996,0.041617882907700646,60.318104576,0.8488857938718662,0.7880388732363968,0.0
ToMe,r=4,0.5102040816326531,1.0144338190469535,269.4844101701062,0.10902218631098995,38.212126302083334,0.10783016649850369,46.623855104,0.8430362116991643,0.7802353513087676,0.0009912440112340988
ToMe,r=8,0.02040816326530612,1.4543969799548564,386.36065255054086,0.0862785780137803,38.586157552083336,0.08744285089521049,31.30971648,0.8164345403899721,0.7604678128124711,0.0
ToMe,r=16,0.00510204081632653,2.546007502254788,676.3470589716607,1.0264484605918671,36.28492903645834,0.0340192960075272,16.026746176,0.1818941504178273,0.1351810781228965,0.009954058192955589
ToMe,r=24,0.00510204081632653,3.4222763201682147,909.1279275823966,2.829485406089192,33.98624869791667,0.08006156487919355,10.968293376,0.1298050139275766,0.061948422990369435,0.001072961373390558
EViT,10% tokens,0.10204081632653061,1.934676023873581,513.9468118813639,0.8545681842902815,26.98937272135417,0.04140027870098688,24.455699456,0.663091922005571,0.6308279172121324,0.00021003990758244065
MCTF,"r=0.20 @ [8,16,22]",0.5120000000000001,0.9661545203871866,256.659011333367,0.44283796969124806,32.419061848958336,0.026979345011276558,51.158977536,0.8444289693593314,0.7795603550629413,0.0013194788058716806
MCTF,"r=0.35 @ [8,16,22]",0.274625,1.0929340262911904,290.33799534268917,0.11214777269598913,31.002766927083336,0.029511405148184382,44.14983168,0.8391364902506964,0.7729864396365819,0.001991701244813278
MCTF,"r=0.50 @ [8,16,22]",0.125,1.2851321680347163,341.39544422802373,0.22180720575656565,30.941026041666664,0.09014507178477196,37.863924736,0.8305013927576602,0.7678370776374636,0.01677008217340265
MCTF,"r=0.35 @ [6,12,18]",0.274625,1.2328512091794794,327.50700409945284,0.22280939427289265,31.95104166666667,0.043412692883319566,38.50243072,0.8144846796657381,0.7530942788908139,0.0
