layer_source,layer_target,f1_macro,acc,tar_at_far,ms_per_img,gflops,forecaster_rho,forecaster_kl
2,23,0.6879605792750509,0.7055710306406685,0.0005921831819976313,2.3101258899726,13.241368576,0.7338299751281738,-0.34254412221003183
2,22,0.6685535488660334,0.7096100278551533,0.0003925417075564279,2.318737002930793,13.241368576,0.7281332015991211,-0.33888111687913725
2,21,0.6857496811704092,0.7235376044568245,0.0023099133782483157,2.309427924375089,13.241368576,0.7390540838241577,-0.3221055654030812
2,20,0.6520044119121465,0.6740947075208914,0.0012396694214876034,2.313889794682041,13.241368576,0.7319823503494263,-0.2487893568564065
