method,accuracy,f1_macro,tar_at_far,ms_per_image
No Pruning,0.9841943509439485,0.9871621963151875,0.10617100371747212,8.603118414025001
Fine-Tuned (FT),0.9815600761012733,0.984602288071421,0.15431638586551363,3.093572969565237
CropR,0.9809746816917898,0.9844794956131176,0.5363270177532448,3.9211090551706986
